#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.28398  0.25983 -0.03615 -0.78214  0.000596  0.000251  0.001903     2.379
   1.29273  0.26858 -0.03615 -0.78778  0.000610  0.000256  0.001870     2.381
   1.30149  0.27734 -0.03611 -0.79378  0.000618  0.000261  0.001873     2.373
   1.31025  0.28610 -0.03605 -0.79842  0.000636  0.000267  0.001805     2.387
   1.31902  0.29487 -0.03597 -0.80355  0.000647  0.000271  0.001796     2.383
   1.32780  0.30364 -0.03586 -0.80923  0.000652  0.000275  0.001817     2.370
   1.33658  0.31242 -0.03572 -0.81400  0.000665  0.000280  0.001782     2.375
   1.34536  0.32120 -0.03556 -0.81764  0.000684  0.000286  0.001709     2.393
   1.35414  0.32998 -0.03539 -0.82160  0.000697  0.000291  0.001684     2.395
   1.36292  0.33876 -0.03519 -0.82532  0.000710  0.000296  0.001656     2.398
   1.37171  0.34755 -0.03499 -0.82888  0.000722  0.000301  0.001631     2.400
   1.38051  0.35634 -0.03475 -0.83362  0.000723  0.000304  0.001670     2.380
   1.38930  0.36513 -0.03451 -0.83562  0.000750  0.000311  0.001564     2.413
   1.39810  0.37393 -0.03425 -0.83951  0.000753  0.000314  0.001586     2.398
   1.40691  0.38273 -0.03398 -0.84328  0.000760  0.000318  0.001593     2.390
   1.41571  0.39153 -0.03368 -0.84515  0.000783  0.000324  0.001509     2.416
   1.42452  0.40033 -0.03339 -0.84934  0.000781  0.000327  0.001560     2.391
   1.43332  0.40913 -0.03308 -0.85187  0.000797  0.000332  0.001516     2.402
   1.44214  0.41794 -0.03275 -0.85487  0.000806  0.000336  0.001508     2.400
   1.45096  0.42675 -0.03241 -0.85660  0.000826  0.000342  0.001445     2.419
   1.45977  0.43556 -0.03207 -0.86035  0.000823  0.000344  0.001491     2.396
   1.46859  0.44437 -0.03171 -0.86156  0.000849  0.000350  0.001409     2.423
   1.47741  0.45318 -0.03136 -0.86476  0.000849  0.000353  0.001439     2.406
   1.48623  0.46199 -0.03099 -0.86763  0.000854  0.000356  0.001444     2.399
   1.49505  0.47081 -0.03062 -0.87023  0.000863  0.000360  0.001435     2.398
   1.50387  0.47962 -0.03022 -0.87207  0.000879  0.000365  0.001396     2.410
   1.51270  0.48844 -0.02984 -0.87462  0.000885  0.000368  0.001397     2.405
   1.52153  0.49726 -0.02944 -0.87720  0.000891  0.000371  0.001398     2.400
   1.53036  0.50608 -0.02904 -0.87912  0.000904  0.000376  0.001371     2.407
   1.53919  0.51490 -0.02863 -0.88125  0.000914  0.000379  0.001359     2.408
   1.54802  0.52372 -0.02821 -0.88342  0.000922  0.000383  0.001352     2.407
   1.55685  0.53254 -0.02780 -0.88592  0.000926  0.000386  0.001359     2.400
   1.56568  0.54136 -0.02738 -0.88850  0.000930  0.000389  0.001367     2.393
   1.57451  0.55018 -0.02695 -0.88966  0.000950  0.000394  0.001316     2.412
   1.58335  0.55901 -0.02652 -0.89260  0.000947  0.000395  0.001348     2.394
   1.59218  0.56783 -0.02609 -0.89434  0.000959  0.000399  0.001324     2.401
   1.60101  0.57665 -0.02565 -0.89685  0.000961  0.000402  0.001336     2.393
   1.60985  0.58548 -0.02521 -0.89841  0.000975  0.000406  0.001307     2.402
   1.61868  0.59430 -0.02476 -0.90071  0.000979  0.000409  0.001313     2.396
   1.62752  0.60313 -0.02432 -0.90321  0.000981  0.000411  0.001325     2.387
   1.63635  0.61195 -0.02387 -0.90515  0.000989  0.000414  0.001314     2.390
   1.64520  0.62078 -0.02342 -0.90759  0.000992  0.000416  0.001323     2.383
   1.65403  0.62960 -0.02296 -0.90934  0.001002  0.000420  0.001304     2.389
   1.66287  0.63843 -0.02251 -0.91175  0.001005  0.000422  0.001314     2.382
   1.67171  0.64726 -0.02205 -0.91396  0.001009  0.000424  0.001314     2.379
   1.68054  0.65608 -0.02159 -0.91594  0.001017  0.000427  0.001305     2.381
   1.68939  0.66491 -0.02112 -0.91760  0.001028  0.000431  0.001286     2.387
   1.69823  0.67374 -0.02066 -0.92088  0.001018  0.000431  0.001331     2.364
   1.70706  0.68256 -0.02019 -0.92213  0.001035  0.000435  0.001292     2.380
   1.71590  0.69139 -0.01972 -0.92482  0.001033  0.000436  0.001314     2.368
   1.72474  0.70021 -0.01925 -0.92656  0.001043  0.000439  0.001297     2.374
   1.73358  0.70904 -0.01878 -0.92964  0.001036  0.000440  0.001331     2.357
   1.74242  0.71787 -0.01830 -0.93132  0.001047  0.000443  0.001308     2.365
   1.75125  0.72669 -0.01782 -0.93352  0.001051  0.000445  0.001309     2.363
   1.76010  0.73552 -0.01734 -0.93625  0.001049  0.000446  0.001328     2.353
   1.76894  0.74435 -0.01686 -0.93831  0.001056  0.000448  0.001320     2.355
   1.77777  0.75317 -0.01638 -0.94073  0.001058  0.000450  0.001327     2.351
   1.78662  0.76200 -0.01590 -0.94371  0.001053  0.000450  0.001352     2.339
   1.79545  0.77082 -0.01541 -0.94594  0.001059  0.000452  0.001346     2.340
   1.80429  0.77965 -0.01492 -0.94813  0.001064  0.000455  0.001341     2.342
   1.81313  0.78847 -0.01443 -0.95136  0.001058  0.000454  0.001372     2.327
   1.82196  0.79729 -0.01393 -0.95366  0.001063  0.000456  0.001367     2.329
   1.83081  0.80612 -0.01344 -0.95676  0.001059  0.000457  0.001389     2.319
   1.83964  0.81494 -0.01294 -0.95940  0.001061  0.000458  0.001393     2.317
   1.84848  0.82377 -0.01244 -0.96249  0.001058  0.000458  0.001412     2.309
   1.85732  0.83259 -0.01194 -0.96536  0.001059  0.000459  0.001420     2.306
   1.86616  0.84142 -0.01143 -0.96821  0.001060  0.000460  0.001427     2.303
   1.87500  0.85024 -0.01093 -0.97247  0.001046  0.000458  0.001480     2.282
   1.88383  0.85906 -0.01041 -0.97500  0.001052  0.000460  0.001467     2.288
   1.89266  0.86787 -0.00990 -0.97921  0.001041  0.000458  0.001513     2.271
   1.90149  0.87669 -0.00938 -0.98331  0.001033  0.000457  0.001548     2.259
   1.91032  0.88550 -0.00886 -0.98803  0.001021  0.000455  0.001598     2.243
   1.91915  0.89432 -0.00833 -0.99082  0.001029  0.000457  0.001577     2.252
   1.92797  0.90312 -0.00780 -0.99728  0.001001  0.000452  0.001682     2.217
   1.93680  0.91193 -0.00725 -1.00077  0.001006  0.000452  0.001672     2.223
   1.94560  0.92072 -0.00670 -1.00719  0.000984  0.000448  0.001762     2.197
   1.95440  0.92950 -0.00614 -1.01324  0.000969  0.000444  0.001825     2.180
   1.96319  0.93827 -0.00557 -1.01934  0.000956  0.000441  0.001881     2.168
   1.97197  0.94703 -0.00498 -1.02825  0.000924  0.000433  0.002022     2.133
   1.98072  0.95576 -0.00436 -1.03640  0.000905  0.000428  0.002116     2.114
   1.98940  0.96441 -0.00371 -1.04610  0.000878  0.000420  0.002249     2.088
   1.99796  0.97295 -0.00303 -1.05791  0.000843  0.000411  0.002435     2.053
   2.00632  0.98127 -0.00226 -1.06822  0.000823  0.000404  0.002547     2.039
   2.01423  0.98913 -0.00140 -1.06722  0.000872  0.000414  0.002270     2.108
   2.02137  0.99622 -0.00051 -1.06096  0.000955  0.000431  0.001875     2.218
   2.02519  1.00000  0.00000 -1.02799  0.001642  0.000502  0.000254     3.271
   2.02519  1.00010  0.00001  1.02799  0.072141  0.013930  0.000000     5.179
   2.02898  1.00388  0.00034  1.02614  0.069978  0.014109  0.000000     4.960
   2.03320  1.00808  0.00067  1.02431  0.068953  0.014283  0.000000     4.828
   2.03789  1.01277  0.00100  1.02226  0.067993  0.014479  0.000000     4.696
   2.04312  1.01798  0.00137  1.01992  0.067038  0.014700  0.000000     4.560
   2.04894  1.02379  0.00176  1.01724  0.066040  0.014953  0.000000     4.416
   2.05541  1.03025  0.00219  1.01414  0.064969  0.015245  0.000000     4.262
