#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.03402  0.00025  0.00239 -0.99080  0.000059  0.000027  0.022404     2.198
   1.03517  0.00008  0.00126 -1.13683  0.000054  0.000025  0.029031     2.163
   1.03627  0.00000  0.00016 -1.32186  0.000048  0.000022  0.038568     2.143
   1.03736  0.00005 -0.00093 -1.49766  0.000048  0.000022  0.040490     2.223
   1.03847  0.00026 -0.00202 -1.67844  0.000047  0.000021  0.047809     2.205
   1.03963  0.00070 -0.00309 -1.69481  0.000072  0.000027  0.019000     2.687
   1.04084  0.00131 -0.00414 -1.66775  0.000090  0.000033  0.014070     2.742
   1.04212  0.00206 -0.00518 -1.64039  0.000108  0.000038  0.010528     2.810
   1.04347  0.00292 -0.00621 -1.62078  0.000120  0.000043  0.009779     2.775
   1.04490  0.00391 -0.00725 -1.59656  0.000142  0.000049  0.006895     2.898
   1.04643  0.00501 -0.00831 -1.58072  0.000151  0.000053  0.007143     2.820
   1.04806  0.00623 -0.00939 -1.56940  0.000160  0.000058  0.007231     2.763
   1.04981  0.00759 -0.01050 -1.55882  0.000171  0.000062  0.006775     2.753
   1.05172  0.00911 -0.01165 -1.54879  0.000184  0.000067  0.006280     2.753
   1.05377  0.01079 -0.01283 -1.53955  0.000196  0.000071  0.005873     2.749
   1.05602  0.01267 -0.01406 -1.53091  0.000209  0.000076  0.005522     2.745
   1.05847  0.01477 -0.01533 -1.51614  0.000235  0.000082  0.004138     2.863
   1.06117  0.01711 -0.01667 -1.50701  0.000245  0.000087  0.004277     2.806
   1.06414  0.01973 -0.01807 -1.49499  0.000266  0.000093  0.003682     2.849
   1.06744  0.02267 -0.01956 -1.48612  0.000277  0.000099  0.003718     2.807
   1.07110  0.02598 -0.02114 -1.47963  0.000286  0.000104  0.003867     2.749
   1.07520  0.02972 -0.02281 -1.47205  0.000303  0.000110  0.003645     2.747
   1.07976  0.03393 -0.02457 -1.46499  0.000319  0.000117  0.003480     2.738
   1.08485  0.03867 -0.02642 -1.45651  0.000342  0.000124  0.003141     2.760
   1.09052  0.04399 -0.02837 -1.45220  0.000351  0.000130  0.003299     2.699
   1.09676  0.04990 -0.03037 -1.44372  0.000380  0.000138  0.002857     2.746
   1.10353  0.05636 -0.03241 -1.43735  0.000398  0.000146  0.002756     2.732
   1.11081  0.06334 -0.03446 -1.43274  0.000413  0.000153  0.002755     2.701
   1.11849  0.07076 -0.03647 -1.42644  0.000438  0.000161  0.002522     2.720
   1.12654  0.07856 -0.03843 -1.42165  0.000457  0.000169  0.002450     2.708
   1.13483  0.08664 -0.04030 -1.41680  0.000478  0.000176  0.002332     2.709
   1.14336  0.09498 -0.04207 -1.41064  0.000506  0.000185  0.002112     2.738
   1.15204  0.10350 -0.04374 -1.40662  0.000522  0.000192  0.002090     2.720
   1.16085  0.11218 -0.04529 -1.40072  0.000551  0.000200  0.001893     2.752
   1.16978  0.12099 -0.04672 -1.39463  0.000581  0.000209  0.001722     2.782
   1.17880  0.12991 -0.04804 -1.38843  0.000610  0.000217  0.001569     2.811
   1.18789  0.13892 -0.04925 -1.38269  0.000636  0.000225  0.001468     2.826
   1.19704  0.14801 -0.05035 -1.37665  0.000666  0.000233  0.001346     2.853
   1.20626  0.15717 -0.05134 -1.37025  0.000699  0.000242  0.001209     2.891
   1.21553  0.16640 -0.05222 -1.36332  0.000739  0.000251  0.001050     2.946
   1.22485  0.17569 -0.05300 -1.35616  0.000783  0.000260  0.000891     3.011
   1.23424  0.18505 -0.05369 -1.34938  0.000823  0.000269  0.000777     3.061
   1.24368  0.19447 -0.05429 -1.34269  0.000864  0.000278  0.000674     3.112
   1.25317  0.20395 -0.05480 -1.33589  0.000911  0.000286  0.000559     3.181
   1.26272  0.21349 -0.05523 -1.32951  0.000954  0.000295  0.000480     3.232
   1.27232  0.22308 -0.05559 -1.32374  0.000985  0.000303  0.000445     3.250
   1.28197  0.23273 -0.05588 -1.31862  0.001004  0.000311  0.000452     3.232
   1.29165  0.24241 -0.05610 -1.31508  0.000991  0.000316  0.000557     3.130
   1.30138  0.25213 -0.05625 -1.29641  0.000900  0.000342  0.001239     2.633
   1.31113  0.26188 -0.05635 -1.27639  0.000770  0.000372  0.002743     2.072
   1.32091  0.27166 -0.05639 -1.26521  0.000695  0.000395  0.004449     1.758
   1.33072  0.28147 -0.05638 -1.25928  0.000669  0.000418  0.005618     1.600
   1.34055  0.29130 -0.05632 -1.25420  0.000674  0.000443  0.006227     1.522
   1.35041  0.30116 -0.05621 -1.24940  0.000695  0.000469  0.006488     1.482
   1.36029  0.31104 -0.05605 -1.24293  0.000729  0.000498  0.006502     1.463
   1.37019  0.32094 -0.05585 -1.23778  0.000764  0.000526  0.006458     1.452
   1.38011  0.33086 -0.05561 -1.23203  0.000805  0.000556  0.006343     1.448
   1.39006  0.34080 -0.05533 -1.22575  0.000849  0.000587  0.006188     1.447
   1.40002  0.35076 -0.05502 -1.22102  0.000889  0.000615  0.006069     1.445
   1.41001  0.36074 -0.05467 -1.21471  0.000936  0.000646  0.005901     1.447
   1.42001  0.37074 -0.05429 -1.20873  0.000982  0.000677  0.005746     1.449
   1.43002  0.38074 -0.05389 -1.20454  0.001022  0.000705  0.005645     1.449
   1.44006  0.39077 -0.05345 -1.19818  0.001071  0.000738  0.005486     1.452
   1.45010  0.40080 -0.05299 -1.19336  0.001115  0.000767  0.005376     1.453
   1.46015  0.41084 -0.05250 -1.18762  0.001163  0.000799  0.005246     1.455
   1.47023  0.42090 -0.05199 -1.18265  0.001208  0.000830  0.005141     1.456
   1.48031  0.43097 -0.05146 -1.17782  0.001253  0.000860  0.005043     1.457
